seat,election_year,total_voters,malay_pct,chinese_pct,indian_pct,young_malay_pct,young_chinese_pct,older_malay_pct,youth_pct,median_age,state
N.44 Larkin,2022,76004,0.6249,0.2797,0.0664,0.2281,0.0552,0.2261,0.1985,45.0,johor
N.45 Stulang,2022,60577,0.3786,0.5356,0.0493,0.1303,0.1108,0.1388,0.1653,47.0,johor
N.46 Perling,2022,101263,0.3802,0.4601,0.13,0.1563,0.1749,0.1224,0.2738,41.0,johor
N.47 Kempas,2022,62011,0.5537,0.309,0.1083,0.2326,0.089,0.172,0.2446,41.0,johor
N.48 Skudai,2022,102828,0.2199,0.6177,0.1387,0.096,0.203,0.065,0.2382,42.0,johor
N.49 Kota Iskandar,2022,116415,0.4894,0.3446,0.1426,0.2556,0.1508,0.112,0.343,36.0,johor
N.50 Bukit Permai,2022,39611,0.5271,0.3191,0.1331,0.2541,0.1275,0.1357,0.3306,38.0,johor
N.51 Bukit Batu,2022,46237,0.3625,0.5372,0.0836,0.1883,0.2022,0.0893,0.3078,39.0,johor
N.52 Senai,2022,63717,0.2762,0.5694,0.1276,0.135,0.1738,0.0738,0.2549,43.0,johor
N.53 Benut,2022,28165,0.8035,0.1699,0.0017,0.3185,0.0509,0.2703,0.2434,41.0,johor
N.54 Pulai Sebatang,2022,46991,0.6084,0.3489,0.0156,0.2544,0.0974,0.1951,0.2395,42.0,johor
N.55 Pekan Nanas,2022,35865,0.5468,0.4247,0.0109,0.2432,0.1295,0.1639,0.259,41.0,johor
N.56 Kukup,2022,34624,0.5938,0.3779,0.0092,0.2323,0.1149,0.2069,0.2292,43.0,johor
